marital_status,application_mode,application_order,course,attendance,prev_qualification,nationality,displaced,debtor,tuition,gender,scholarship,international,units_1_credited,units_1_enrolled,units_1_approved,units_1_grade,units_2_credited,units_2_enrolled,units_2_approved,units_2_grade,unemployment_rate,inflation_rate,gdp,target
1,1,1,9853,1,1,1,1,0,1,0,0,0,0,7,6,12,0,7,6,14,16,0,-1,Enrolled
1,1,3,171,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,11,1,2,Graduate
1,18,4,9556,1,1,1,1,0,1,0,0,0,0,7,7,11,0,8,8,11,13,4,-2,Enrolled
1,1,4,9500,1,1,1,1,0,1,0,0,0,0,8,7,13,0,8,7,13,13,4,-2,Graduate
1,1,4,9670,1,1,1,1,0,1,0,1,0,0,6,6,13,0,6,6,12,11,1,2,Graduate
1,1,1,9500,1,1,1,0,0,1,0,0,0,0,7,6,13,0,8,7,14,11,1,2,Graduate
1,1,1,9238,1,1,1,1,1,1,0,1,0,0,6,5,12,0,6,4,11,8,3,0,Enrolled
1,17,2,9238,1,1,1,1,0,1,0,0,0,0,6,6,11,0,6,6,13,16,0,-1,Graduate
1,1,1,9085,1,1,1,1,0,1,0,0,0,0,5,5,13,0,5,4,13,9,-1,-3,Enrolled
1,1,1,9147,1,1,1,1,0,1,0,0,0,0,5,5,12,0,5,5,12,16,0,-1,Graduate
1,17,2,9500,1,1,1,1,0,1,1,0,0,0,7,6,13,0,7,6,14,16,0,-1,Enrolled
1,44,1,9003,1,39,1,0,0,1,1,0,0,0,6,5,12,0,6,5,11,16,0,-1,Enrolled
1,51,1,9070,1,1,1,1,0,1,1,0,0,2,6,6,13,0,6,4,13,9,1,4,Graduate
1,1,1,9147,1,1,1,0,0,0,1,0,0,0,5,3,11,0,5,2,14,9,1,4,Enrolled
1,18,1,8014,0,1,1,1,0,1,0,0,0,0,6,6,13,0,6,6,14,12,1,2,Graduate
1,1,1,9991,0,1,1,0,0,1,1,0,0,0,5,5,12,0,5,5,13,14,0,1,Graduate
1,39,1,33,1,1,1,0,1,0,1,0,0,0,7,0,0,0,7,1,10,9,1,4,Dropout
1,39,1,9119,1,10,1,1,0,1,1,0,0,0,5,0,0,0,5,0,0,8,3,0,Dropout
1,43,1,9147,1,1,1,0,0,1,0,0,0,0,5,1,10,0,5,2,12,16,0,-1,Dropout
4,39,1,9991,0,1,1,1,0,1,0,0,0,0,5,5,11,0,5,5,12,8,3,0,Graduate
1,44,1,9130,1,39,6,0,1,0,0,0,1,2,6,3,12,1,6,3,12,12,1,2,Dropout
1,1,5,9773,1,1,1,0,1,1,0,0,0,0,6,4,13,0,5,0,0,13,4,-2,Dropout
1,1,2,9147,1,1,1,1,0,1,0,0,0,0,5,5,15,0,5,5,16,9,1,4,Graduate
1,1,6,9500,1,1,1,1,0,1,0,0,0,0,7,5,14,0,8,7,14,11,1,2,Graduate
1,17,1,9773,1,1,1,0,0,0,0,0,0,0,6,4,13,0,6,5,14,12,1,2,Dropout
1,39,1,9991,0,1,1,0,0,1,0,0,0,0,5,0,0,0,5,0,0,16,0,-1,Dropout
1,17,1,9991,0,1,1,0,0,1,0,0,0,0,5,2,12,0,5,3,14,8,3,0,Enrolled
1,17,2,9238,1,1,1,1,0,1,0,0,0,0,6,6,12,0,6,5,13,11,1,2,Graduate
1,17,6,9500,1,1,1,1,0,1,0,1,0,0,7,6,14,0,8,7,14,11,1,2,Graduate
1,44,1,8014,0,39,1,0,0,1,0,1,0,3,6,6,12,2,6,6,13,12,1,2,Graduate
1,1,1,9238,1,1,1,0,0,1,0,1,0,0,6,5,12,0,6,6,13,13,4,-2,Graduate
1,39,1,9254,1,1,1,0,0,1,0,1,0,0,6,6,14,0,6,6,14,12,1,2,Graduate
1,1,1,9500,1,1,1,1,0,1,0,1,0,0,8,6,12,0,8,6,12,9,-1,-3,Enrolled
1,1,1,9773,1,1,1,1,0,1,0,1,0,0,6,4,14,0,6,3,11,9,-1,-3,Enrolled
1,1,3,9130,1,1,1,0,0,1,0,0,0,0,5,5,15,0,5,5,16,8,3,0,Graduate
1,39,1,9991,0,1,1,0,0,1,0,0,0,0,5,5,11,0,5,5,11,9,-1,-3,Dropout
1,1,1,9500,1,1,1,1,0,1,0,0,0,0,7,7,13,0,8,8,14,16,3,-4,Graduate
2,7,1,9254,1,3,1,0,0,1,0,0,0,0,6,0,0,0,6,0,0,12,1,2,Dropout
1,39,1,9130,1,40,1,1,0,1,0,0,0,0,6,5,13,5,11,10,13,12,1,2,Dropout
1,17,1,9500,1,1,1,1,0,1,0,0,0,0,8,8,15,0,8,8,15,9,-1,-3,Graduate
1,1,3,171,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,3,0,Enrolled
1,1,2,9500,1,1,1,0,0,1,0,0,0,0,7,6,13,0,8,7,12,16,0,-1,Graduate
1,44,1,9238,1,39,1,0,0,1,0,1,0,3,6,6,12,2,6,6,12,14,0,1,Graduate
1,17,3,171,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,11,1,2,Enrolled
1,17,1,9070,1,1,1,1,0,1,1,0,0,0,6,5,11,0,6,1,10,11,1,2,Enrolled
1,43,1,9070,1,1,1,0,0,1,1,0,0,0,6,0,0,0,6,0,0,13,4,-2,Enrolled
4,42,1,9500,1,19,1,1,0,1,1,0,0,2,7,5,12,1,8,5,11,14,0,1,Dropout
1,1,3,171,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,11,1,2,Graduate
1,44,1,9003,1,39,1,1,0,1,1,0,0,0,6,6,13,0,6,6,12,9,1,4,Graduate
1,1,3,9147,1,1,1,0,1,1,1,0,0,0,5,5,11,0,5,4,11,16,0,-1,Dropout
1,39,1,9254,1,1,1,0,0,1,1,0,0,0,6,6,12,0,6,5,11,13,4,-2,Enrolled
1,17,1,9147,1,1,1,0,0,1,1,0,0,0,5,0,0,0,5,0,0,8,3,0,Enrolled
1,17,1,9500,1,1,1,0,0,1,1,0,0,0,7,7,12,0,8,8,14,14,0,1,Graduate
1,1,1,171,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,16,3,-4,Dropout
1,17,4,9254,1,1,1,1,0,1,1,0,0,0,6,3,12,0,6,1,12,12,1,2,Dropout
1,1,2,9773,1,1,1,1,0,1,1,0,0,0,6,6,12,0,6,3,12,11,1,2,Graduate
1,17,3,9147,1,1,1,1,1,1,1,0,0,0,5,3,10,0,5,3,11,11,1,2,Dropout
1,18,4,9254,1,1,1,1,0,1,1,1,0,0,6,4,11,0,6,1,11,9,-1,-3,Dropout
1,17,4,9773,1,1,1,1,1,1,1,1,0,0,6,6,14,0,6,6,13,9,1,4,Graduate
1,17,4,9500,1,1,1,0,0,1,1,1,0,0,7,7,15,0,8,8,15,16,0,-1,Graduate
2,39,1,8014,0,1,1,0,0,1,1,0,0,0,6,6,12,0,6,6,12,11,1,2,Graduate
1,1,6,9853,1,1,1,1,0,1,1,0,0,0,6,5,12,0,6,5,12,11,1,2,Dropout
1,39,1,9991,0,2,1,1,0,1,1,0,0,0,1,0,0,0,5,0,0,11,1,2,Dropout
1,39,1,9003,1,4,1,0,1,1,1,0,0,6,12,6,12,7,12,10,13,12,1,2,Dropout
1,17,1,9254,1,1,1,0,0,1,1,0,0,0,5,5,12,0,5,3,11,13,4,-2,Enrolled
2,39,1,8014,0,1,1,1,0,1,0,0,0,0,6,6,11,0,6,5,11,9,-1,-3,Graduate
1,42,1,9500,1,1,1,1,0,1,0,1,0,0,8,7,13,0,8,7,13,11,1,2,Graduate
1,39,1,9670,1,1,1,0,0,1,0,1,0,0,5,4,11,0,5,5,12,9,-1,-3,Graduate
1,17,1,9070,1,1,1,1,0,1,1,0,0,0,6,6,11,0,6,5,11,8,3,0,Graduate
1,1,6,9147,1,1,1,1,0,1,1,0,0,0,5,4,14,0,5,5,14,11,1,2,Enrolled
1,43,2,9119,1,1,1,1,1,1,1,0,0,0,5,2,10,0,5,0,0,16,3,-4,Enrolled
1,39,1,9500,1,1,1,0,0,1,1,0,0,0,7,0,0,0,7,0,0,14,0,1,Dropout
1,17,2,9773,1,1,41,1,0,0,0,0,1,0,6,6,14,0,6,6,14,9,1,4,Graduate
1,15,1,9130,1,1,41,0,0,1,0,0,1,0,6,2,12,0,6,0,0,9,1,4,Dropout
2,39,1,9853,1,10,1,0,0,1,0,0,0,0,6,3,13,0,6,0,0,8,3,0,Dropout
2,39,1,8014,0,1,1,0,0,1,0,0,0,2,8,8,12,0,6,6,12,13,4,-2,Graduate
1,15,1,9119,1,1,26,1,0,1,1,0,1,0,5,5,14,0,5,3,13,14,0,1,Enrolled
1,1,5,9773,1,1,1,1,0,1,0,0,0,0,6,6,14,0,6,6,13,9,1,4,Graduate
1,1,5,9500,1,1,1,1,0,1,0,1,0,0,7,7,14,0,8,8,14,12,1,2,Graduate
1,1,1,9085,1,1,1,1,0,1,0,0,0,0,5,5,14,0,5,5,14,13,4,-2,Enrolled
1,1,4,9500,1,1,1,1,1,0,0,0,0,0,7,4,12,0,7,0,0,14,0,1,Dropout
1,53,1,9085,1,42,1,0,0,1,0,0,0,7,10,8,13,4,9,5,13,9,1,4,Dropout
1,1,4,171,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,-1,Graduate
2,39,1,8014,0,1,1,1,0,1,0,0,0,0,6,0,0,0,6,0,0,9,-1,-3,Dropout
4,39,1,9003,1,12,1,0,0,1,0,0,0,13,18,18,15,10,13,13,14,16,3,-4,Graduate
1,18,1,9853,1,1,1,1,0,1,0,0,0,0,6,0,0,0,6,0,0,11,1,2,Dropout
1,51,1,9070,1,1,1,0,1,1,0,0,0,4,10,10,13,5,11,11,12,11,1,2,Graduate
1,1,2,9238,1,1,1,1,0,1,0,0,0,0,6,0,0,0,6,0,0,16,0,-1,Dropout
1,1,1,9085,1,1,1,1,0,1,0,0,0,0,6,4,14,0,6,4,13,16,3,-4,Dropout
1,1,5,9500,1,1,1,1,0,1,0,0,0,2,7,6,13,0,7,5,12,12,1,2,Dropout
1,17,2,9853,1,1,1,1,0,1,0,0,0,0,7,6,12,0,7,3,13,16,0,-1,Enrolled
1,1,1,9238,1,1,1,1,0,1,0,0,0,0,6,6,14,0,6,6,15,14,0,1,Graduate
1,17,2,9147,1,1,1,1,0,1,0,1,0,0,5,3,13,0,5,3,11,9,1,4,Enrolled
1,1,1,9085,1,1,1,1,0,1,0,0,0,0,5,5,13,0,5,5,13,11,1,2,Graduate
1,1,3,9773,1,1,1,1,0,1,0,0,0,0,6,6,13,0,6,6,13,11,1,2,Graduate
1,17,2,9500,1,1,1,1,0,1,0,0,0,0,7,6,13,0,7,6,13,8,3,0,Dropout
1,43,1,9500,1,1,1,0,0,1,0,0,0,0,7,6,12,0,7,7,13,14,0,1,Enrolled
1,17,1,9238,1,1,1,1,0,1,0,1,0,0,6,2,10,0,6,4,11,8,3,0,Enrolled
1,17,1,9147,1,1,1,0,0,1,0,0,0,0,5,3,10,0,5,3,11,12,1,2,Enrolled
1,1,2,9085,1,1,1,0,0,1,0,0,0,0,5,5,13,0,5,5,11,9,-1,-3,Graduate
1,1,1,9147,1,1,1,0,0,1,0,0,0,0,5,5,13,0,5,5,14,11,1,2,Graduate
1,17,1,9254,1,1,1,1,0,1,0,0,0,0,6,3,11,0,6,2,11,9,-1,-3,Dropout
1,1,2,9147,1,1,1,1,0,1,0,0,0,0,5,5,11,0,5,4,11,16,0,-1,Graduate
1,1,1,171,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,1,2,Dropout
1,1,1,9670,1,1,1,0,0,1,0,1,0,0,5,5,13,0,5,5,14,9,-1,-3,Graduate
1,1,1,9085,1,1,1,1,0,1,0,0,0,0,6,6,14,0,6,6,12,16,3,-4,Graduate
1,17,6,9556,1,1,1,1,0,1,0,0,0,0,7,5,12,0,7,0,0,14,0,1,Dropout
1,44,1,9085,1,39,1,1,0,1,0,0,0,1,6,6,14,1,6,5,14,12,1,2,Graduate
1,1,1,9853,1,1,1,1,0,1,0,1,0,0,6,5,13,0,6,5,13,9,-1,-3,Enrolled
1,17,3,9238,1,1,1,1,0,1,0,0,0,0,6,6,13,0,6,6,14,12,1,2,Graduate
1,17,6,9500,1,1,1,1,0,1,0,0,0,0,7,7,13,0,8,8,15,12,1,2,Graduate
1,1,3,9500,1,1,1,1,0,1,0,1,0,0,7,7,13,0,8,7,14,14,0,1,Dropout
1,17,2,9070,1,1,1,1,0,1,0,0,0,0,6,6,12,0,6,6,13,8,3,0,Graduate
1,1,4,9147,1,1,1,1,0,1,0,0,0,0,5,5,12,0,5,5,15,9,1,4,Graduate
1,17,6,9500,1,1,1,1,0,1,0,0,0,0,7,5,14,0,7,0,0,14,0,1,Dropout
1,43,1,9238,1,1,1,0,0,1,0,0,0,5,9,9,12,2,7,7,12,8,3,0,Graduate
1,1,1,9670,1,1,1,0,1,0,0,1,0,0,6,5,12,0,6,4,13,12,1,2,Dropout
1,17,1,9670,1,1,1,1,0,1,0,0,0,0,5,4,12,0,5,4,12,8,3,0,Graduate
1,1,1,9773,1,1,1,0,1,1,0,1,0,0,6,6,15,0,6,6,15,9,1,4,Graduate
1,1,2,9500,1,1,1,0,0,1,0,1,0,0,7,5,13,0,8,7,13,11,1,2,Enrolled
1,18,1,9500,1,1,1,0,0,1,0,0,0,0,7,7,17,0,8,8,18,14,0,1,Graduate
1,1,5,9500,1,1,1,1,0,1,0,0,0,0,7,6,13,0,7,6,13,8,3,0,Graduate
1,1,6,9773,1,1,1,1,0,1,0,1,0,0,6,6,13,0,6,5,12,12,1,2,Graduate
1,51,1,9147,1,1,1,1,1,0,0,0,0,0,5,0,0,0,5,0,0,9,1,4,Enrolled
1,1,3,9238,1,1,1,1,0,1,0,1,0,0,6,6,11,0,6,6,12,12,1,2,Graduate
1,1,3,9500,1,1,1,1,0,1,0,1,0,0,7,7,14,0,8,8,12,16,3,-4,Graduate
1,17,5,9853,1,1,1,1,0,1,0,1,0,0,6,5,12,0,6,5,11,9,-1,-3,Graduate
1,1,4,9254,1,1,1,1,0,1,0,0,0,0,5,0,0,0,5,0,0,8,3,0,Dropout
1,17,1,9254,1,1,1,1,0,1,0,0,0,0,6,5,11,0,6,3,12,8,3,0,Dropout
1,1,1,9147,1,1,1,0,0,1,0,0,0,0,5,5,13,0,5,5,14,14,0,1,Graduate
1,1,1,9500,1,1,1,0,0,1,0,1,0,0,7,6,14,0,8,7,14,11,1,2,Graduate
1,1,1,171,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,-1,-3,Enrolled
1,1,1,9085,1,1,1,0,0,1,0,0,0,0,5,5,12,0,5,5,13,8,3,0,Graduate
1,17,1,9853,1,1,1,1,0,1,0,0,0,0,6,3,12,0,6,5,11,9,-1,-3,Enrolled
1,1,1,9853,1,1,1,1,0,1,0,0,0,0,6,6,13,0,6,5,12,8,3,0,Graduate
1,43,1,9853,1,1,1,1,0,1,0,0,0,0,6,3,13,0,6,3,10,9,-1,-3,Dropout
1,1,1,9853,1,1,1,0,0,1,0,0,0,0,6,6,12,0,6,4,12,8,3,0,Dropout
1,1,1,9147,1,1,1,0,0,1,0,1,0,0,5,5,11,0,5,5,12,12,1,2,Graduate
1,17,2,9238,1,1,1,1,0,1,0,1,0,0,6,6,12,0,6,6,12,13,4,-2,Graduate
1,1,3,9238,1,1,1,1,0,1,0,0,0,0,6,4,11,0,6,6,12,9,-1,-3,Graduate
1,39,1,8014,0,1,1,0,0,1,0,1,0,0,6,5,11,0,6,5,13,11,1,2,Graduate
1,1,1,9670,1,1,1,0,0,1,0,0,0,0,6,6,13,0,6,6,13,11,1,2,Dropout
1,1,1,9500,1,1,1,1,0,1,0,1,0,0,7,7,13,0,8,7,13,16,3,-4,Graduate
1,1,2,9500,1,1,1,1,0,1,0,0,0,0,7,7,15,0,8,8,15,16,3,-4,Graduate
1,17,5,9853,1,1,1,1,0,1,0,0,0,0,6,4,12,0,6,3,11,11,1,2,Dropout
1,17,2,9670,1,1,1,0,0,1,0,0,0,0,5,5,14,0,5,5,14,8,3,0,Graduate
1,17,1,9773,1,1,1,0,0,1,0,1,0,0,6,6,13,0,6,6,13,16,3,-4,Graduate
3,39,1,9003,1,1,1,0,1,1,0,0,0,0,1,0,0,0,6,0,0,9,1,4,Enrolled
1,17,3,9238,1,1,1,0,0,1,0,0,0,0,6,5,12,0,6,4,11,14,0,1,Graduate
1,39,1,9500,1,3,1,0,0,1,0,0,0,1,8,7,14,1,8,7,14,13,4,-2,Graduate
1,43,1,9238,1,1,1,1,0,1,0,0,0,0,6,3,12,0,6,2,11,16,0,-1,Dropout
1,39,1,9085,1,1,1,1,0,1,0,0,0,0,5,4,11,0,5,4,11,13,4,-2,Enrolled
1,17,2,9556,1,1,1,0,0,1,0,0,0,0,7,7,12,0,8,8,14,16,3,-4,Graduate
1,17,1,9500,1,1,1,1,0,1,0,0,0,0,7,6,12,0,7,6,12,8,3,0,Graduate
1,42,1,8014,0,1,1,0,0,1,0,0,0,0,6,3,12,0,6,5,12,9,-1,-3,Graduate
1,17,2,9254,1,1,1,1,1,0,0,0,0,0,6,4,12,0,6,6,13,11,1,2,Dropout
1,1,1,9670,1,1,1,1,0,1,0,1,0,0,5,3,12,0,5,4,14,8,3,0,Enrolled
1,39,1,9853,1,1,1,0,0,1,0,0,0,0,6,5,13,0,6,5,12,8,3,0,Graduate
1,1,2,9500,1,1,1,1,0,1,0,0,0,0,7,4,12,0,7,4,12,8,3,0,Dropout
1,1,5,9853,1,1,1,1,0,1,0,0,0,0,6,5,12,0,6,5,10,9,-1,-3,Dropout
1,7,1,9500,1,3,1,0,0,1,0,0,0,2,7,6,14,3,8,6,15,16,0,-1,Dropout
1,43,1,9853,1,1,1,1,0,1,0,0,0,19,21,21,13,13,19,19,13,12,1,2,Graduate
1,44,1,9991,0,39,1,0,0,1,0,1,0,2,6,6,13,2,6,6,13,9,-1,-3,Enrolled
1,39,1,9773,1,19,1,0,1,0,0,0,0,0,6,5,12,0,6,0,0,11,1,2,Dropout
1,18,3,9070,1,1,1,1,0,0,0,0,0,0,6,6,12,0,6,0,0,16,3,-4,Dropout
1,17,2,9254,1,1,1,0,0,1,0,0,0,0,6,0,0,0,6,0,0,11,1,2,Dropout
1,18,2,9147,1,1,1,1,1,0,0,0,0,0,5,3,10,0,5,3,11,11,1,2,Dropout
1,43,1,9238,1,1,1,0,1,0,0,0,0,5,10,8,12,0,6,4,10,9,-1,-3,Enrolled
1,17,3,9500,1,1,1,1,0,1,0,1,0,0,7,6,13,0,7,6,13,8,3,0,Graduate
1,39,1,9085,1,1,1,1,0,1,0,0,0,0,6,2,11,0,6,0,0,9,1,4,Dropout
1,17,4,9070,1,1,1,1,0,1,0,0,0,0,6,6,12,0,6,6,12,16,0,-1,Graduate
1,1,1,9254,1,1,1,0,0,1,0,1,0,0,6,6,12,0,6,6,13,14,0,1,Graduate
1,1,1,8014,0,1,1,0,0,1,0,0,0,0,6,2,10,0,5,1,10,9,-1,-3,Enrolled
1,39,1,9147,1,1,1,1,0,1,0,0,0,0,5,0,0,0,5,0,0,8,3,0,Dropout
1,51,1,9853,1,1,1,0,0,1,0,0,0,0,6,0,0,0,6,0,0,12,1,2,Dropout
1,1,4,9500,1,1,1,1,0,1,0,0,0,0,8,7,12,0,8,7,12,13,4,-2,Graduate
1,39,1,9991,0,40,1,1,0,1,0,0,0,0,5,0,0,0,5,0,0,9,1,4,Dropout
1,18,6,9500,1,1,1,1,0,1,0,0,0,0,8,8,13,0,8,8,13,9,-1,-3,Graduate
1,7,1,9119,1,3,1,0,0,1,0,0,0,0,5,0,0,0,5,0,0,14,0,1,Dropout
1,1,1,9853,1,1,1,0,0,1,0,0,0,0,7,7,13,0,7,7,14,11,1,2,Graduate
1,39,1,9500,1,1,1,0,0,1,0,0,0,0,3,3,12,0,3,3,11,11,1,2,Enrolled
1,1,1,9085,1,1,1,1,0,1,0,0,0,0,5,4,14,0,5,4,14,11,1,2,Graduate
1,1,4,9238,1,1,1,1,0,1,0,0,0,0,6,6,11,0,6,6,11,8,3,0,Graduate
1,1,4,9500,1,1,1,1,0,1,0,0,0,0,8,7,12,0,8,7,12,11,1,2,Graduate
1,44,1,9238,1,39,1,0,1,1,0,0,0,3,6,6,12,2,6,6,12,14,0,1,Graduate
1,17,2,9238,1,1,1,0,0,1,0,1,0,0,6,5,11,0,6,4,11,16,0,-1,Graduate
1,1,1,9238,1,1,1,1,0,1,0,0,0,0,6,4,11,0,6,4,11,8,3,0,Graduate
1,1,2,9500,1,1,1,1,0,1,0,0,0,0,8,7,13,0,8,7,13,13,4,-2,Graduate
1,1,4,9773,1,1,1,1,0,1,0,1,0,0,6,6,14,0,6,6,14,16,0,-1,Graduate
1,1,1,9085,1,1,1,1,0,1,0,0,0,0,6,6,14,0,6,5,13,14,0,1,Graduate
1,39,1,9254,1,19,1,0,0,1,0,1,0,0,6,6,14,0,6,5,13,16,0,-1,Dropout
1,1,2,9500,1,1,1,1,0,1,0,1,0,0,8,7,13,0,8,7,13,13,4,-2,Graduate
1,1,1,9500,1,1,1,0,0,1,0,1,0,0,7,6,13,0,7,6,13,8,3,0,Graduate
1,43,1,9130,1,1,1,1,0,1,0,1,0,0,6,6,16,0,6,6,16,14,0,1,Graduate
1,39,1,9991,0,1,1,0,0,1,0,1,0,0,5,0,0,0,5,0,0,16,0,-1,Dropout
1,43,1,9773,1,1,1,0,0,1,0,0,0,0,6,6,12,0,6,6,12,8,3,0,Graduate
1,39,1,9556,1,40,1,0,0,1,0,0,0,0,7,6,12,0,8,8,13,16,3,-4,Enrolled
1,18,1,9147,1,1,1,1,0,1,0,1,0,0,5,5,12,0,5,5,12,12,1,2,Graduate
1,39,1,8014,0,1,1,1,0,1,0,0,0,0,6,1,10,0,6,0,0,9,-1,-3,Dropout
1,39,1,8014,0,1,1,0,0,1,0,1,0,0,6,1,10,0,6,0,0,9,1,4,Dropout
1,17,1,9085,1,1,1,0,0,1,0,0,0,0,5,0,0,0,5,2,14,8,3,0,Dropout
1,1,1,9147,1,1,1,0,0,1,0,1,0,0,5,4,13,0,5,3,12,9,-1,-3,Graduate
2,1,4,9853,1,1,1,0,0,1,0,1,0,0,6,6,13,0,6,6,15,11,1,2,Graduate
1,1,3,9254,1,1,1,1,0,1,0,0,0,0,6,4,11,0,6,2,13,9,-1,-3,Dropout
1,51,1,9500,1,1,1,0,0,1,0,1,0,0,7,5,14,0,8,7,12,11,1,2,Graduate
1,18,1,9500,1,1,1,1,0,1,0,1,0,0,7,6,14,0,8,7,15,16,0,-1,Graduate
2,7,1,9991,0,43,1,0,0,1,0,0,0,2,6,6,15,0,5,5,16,11,1,2,Graduate
2,7,1,9147,1,3,1,0,0,1,0,0,0,0,5,5,11,0,5,5,14,12,1,2,Graduate
1,1,1,9238,1,1,1,0,0,1,0,1,0,0,6,6,12,0,6,6,13,11,1,2,Graduate
1,39,2,9670,1,1,1,1,0,1,0,0,0,0,5,0,0,0,5,0,0,8,3,0,Dropout
1,43,1,9500,1,1,1,1,0,1,0,1,0,0,8,7,12,0,8,7,12,13,4,-2,Graduate
1,1,2,9254,1,1,1,1,0,1,0,0,0,0,6,6,13,0,6,3,13,13,4,-2,Graduate
1,39,1,9254,1,3,1,0,0,1,0,0,0,0,6,0,0,0,6,0,0,16,3,-4,Dropout
1,1,2,9670,1,1,1,0,0,1,0,0,0,0,5,5,13,0,5,5,13,9,-1,-3,Graduate
1,1,1,9254,1,1,1,0,0,1,0,1,0,0,6,5,11,0,6,5,12,16,3,-4,Graduate
1,1,1,9147,1,1,1,0,0,1,0,0,0,0,5,3,12,0,5,1,15,16,0,-1,Dropout
1,1,1,9238,1,1,1,0,0,1,0,1,0,0,6,5,13,0,6,6,13,11,1,2,Graduate
1,1,1,9853,1,1,1,0,0,1,0,1,0,0,6,5,13,0,6,6,13,9,-1,-3,Graduate
1,17,2,9238,1,1,1,0,0,1,0,1,0,0,6,6,11,0,6,6,12,16,3,-4,Graduate
1,1,1,9130,1,1,1,1,0,0,0,0,0,0,5,4,14,0,5,4,14,9,-1,-3,Dropout
1,39,1,9085,1,19,1,0,1,0,0,0,0,2,6,3,12,1,6,3,10,16,0,-1,Dropout
1,1,3,9500,1,1,1,1,0,1,0,0,0,0,7,6,12,0,7,7,11,12,1,2,Enrolled
1,16,1,171,1,1,1,1,0,1,0,0,0,11,17,11,13,9,13,9,14,12,1,2,Enrolled
1,1,2,9147,1,1,1,1,0,1,0,1,0,0,5,5,12,0,5,5,14,12,1,2,Graduate
1,39,1,9147,1,1,1,0,0,0,0,0,0,0,5,0,0,0,5,0,0,11,1,2,Dropout
1,1,1,9147,1,1,1,0,0,1,0,1,0,5,10,9,13,4,10,10,12,9,1,4,Graduate
1,7,1,9500,1,3,1,0,0,1,0,0,0,0,8,8,13,0,8,8,13,9,-1,-3,Graduate
1,17,3,9500,1,1,1,1,0,1,0,1,0,0,8,7,13,0,8,7,13,11,1,2,Graduate
1,44,1,9003,1,39,1,0,1,0,0,0,0,0,6,3,13,0,6,3,11,14,0,1,Dropout
1,1,3,9254,1,1,1,1,0,1,0,0,0,0,6,6,11,0,6,4,12,11,1,2,Graduate
1,1,1,9670,1,1,1,1,0,1,0,1,0,0,6,6,13,0,6,5,14,11,1,2,Graduate
1,1,3,9070,1,1,1,1,0,1,0,0,0,0,6,5,12,0,6,5,12,9,-1,-3,Enrolled
